student_id,company_id
STU_0001,COMP_002
STU_0001,COMP_003
STU_0001,COMP_004
STU_0001,COMP_014
STU_0001,COMP_024
STU_0002,COMP_001
STU_0002,COMP_002
STU_0002,COMP_004
STU_0003,COMP_006
STU_0004,COMP_001
STU_0004,COMP_004
STU_0005,COMP_003
STU_0005,COMP_004
STU_0005,COMP_005
STU_0005,COMP_007
STU_0005,COMP_008
STU_0005,COMP_010
STU_0005,COMP_011
STU_0005,COMP_015
STU_0006,COMP_001
STU_0006,COMP_002
STU_0006,COMP_003
STU_0006,COMP_004
STU_0006,COMP_007
STU_0006,COMP_013
STU_0006,COMP_024
STU_0006,COMP_027
STU_0006,COMP_030
STU_0007,COMP_002
STU_0007,COMP_003
STU_0007,COMP_004
STU_0007,COMP_005
STU_0007,COMP_011
STU_0007,COMP_012
STU_0007,COMP_014
STU_0007,COMP_019
STU_0007,COMP_020
STU_0007,COMP_021
STU_0007,COMP_023
STU_0007,COMP_024
STU_0007,COMP_027
STU_0007,COMP_029
STU_0007,COMP_030
STU_0007,COMP_031
STU_0010,COMP_001
STU_0010,COMP_002
STU_0010,COMP_004
STU_0010,COMP_011
STU_0011,COMP_002
STU_0012,COMP_002
STU_0012,COMP_003
STU_0012,COMP_004
STU_0013,COMP_001
STU_0013,COMP_002
STU_0014,COMP_002
STU_0014,COMP_004
STU_0015,COMP_011
STU_0015,COMP_012
STU_0017,COMP_001
STU_0017,COMP_002
STU_0019,COMP_001
STU_0019,COMP_003
STU_0019,COMP_004
STU_0019,COMP_007
STU_0019,COMP_013
STU_0019,COMP_014
STU_0019,COMP_015
STU_0019,COMP_021
STU_0019,COMP_022
STU_0019,COMP_025
STU_0019,COMP_031
STU_0020,COMP_010
STU_0020,COMP_013
STU_0022,COMP_003
STU_0022,COMP_004
STU_0022,COMP_019
STU_0022,COMP_022
STU_0022,COMP_026
STU_0024,COMP_003
STU_0024,COMP_004
STU_0024,COMP_013
STU_0026,COMP_001
STU_0026,COMP_003
STU_0026,COMP_004
STU_0027,COMP_024
STU_0028,COMP_001
STU_0028,COMP_003
STU_0028,COMP_004
STU_0028,COMP_011
STU_0029,COMP_001
STU_0029,COMP_002
STU_0029,COMP_008
STU_0029,COMP_012
STU_0030,COMP_003
STU_0031,COMP_001
STU_0031,COMP_002
STU_0031,COMP_004
STU_0031,COMP_024
STU_0031,COMP_035
STU_0032,COMP_001
STU_0033,COMP_001
STU_0033,COMP_002
STU_0034,COMP_002
STU_0035,COMP_001
STU_0035,COMP_002
STU_0035,COMP_003
STU_0035,COMP_004
STU_0035,COMP_005
STU_0035,COMP_009
STU_0035,COMP_010
STU_0035,COMP_013
STU_0035,COMP_016
STU_0035,COMP_018
STU_0035,COMP_020
STU_0035,COMP_024
STU_0035,COMP_025
STU_0035,COMP_027
STU_0035,COMP_028
STU_0035,COMP_030
STU_0035,COMP_031
STU_0035,COMP_032
STU_0035,COMP_033
STU_0035,COMP_034
STU_0039,COMP_001
STU_0039,COMP_002
STU_0039,COMP_003
STU_0039,COMP_011
STU_0041,COMP_003
STU_0041,COMP_013
STU_0042,COMP_001
STU_0042,COMP_005
STU_0042,COMP_026
STU_0043,COMP_004
STU_0045,COMP_001
STU_0045,COMP_002
STU_0045,COMP_003
STU_0045,COMP_004
STU_0045,COMP_008
STU_0045,COMP_012
STU_0045,COMP_025
STU_0045,COMP_034
STU_0047,COMP_001
STU_0047,COMP_002
STU_0047,COMP_003
STU_0047,COMP_004
STU_0047,COMP_007
STU_0047,COMP_010
STU_0047,COMP_013
STU_0047,COMP_015
STU_0047,COMP_017
STU_0047,COMP_018
STU_0047,COMP_019
STU_0047,COMP_024
STU_0047,COMP_029
STU_0047,COMP_030
STU_0047,COMP_031
STU_0047,COMP_032
STU_0047,COMP_034
STU_0048,COMP_002
STU_0049,COMP_014
STU_0051,COMP_004
STU_0051,COMP_009
STU_0051,COMP_023
STU_0051,COMP_031
STU_0053,COMP_002
STU_0053,COMP_003
STU_0053,COMP_004
STU_0053,COMP_008
STU_0053,COMP_010
STU_0053,COMP_019
STU_0053,COMP_021
STU_0053,COMP_023
STU_0054,COMP_004
STU_0055,COMP_002
STU_0060,COMP_001
STU_0061,COMP_001
STU_0061,COMP_003
STU_0061,COMP_005
STU_0061,COMP_015
STU_0063,COMP_004
STU_0063,COMP_008
STU_0063,COMP_009
STU_0067,COMP_003
STU_0067,COMP_011
STU_0067,COMP_013
STU_0067,COMP_016
STU_0067,COMP_023
STU_0069,COMP_004
STU_0069,COMP_005
STU_0069,COMP_023
STU_0069,COMP_029
STU_0069,COMP_033
STU_0071,COMP_009
STU_0072,COMP_001
STU_0073,COMP_002
STU_0073,COMP_004
STU_0073,COMP_025
STU_0074,COMP_001
STU_0074,COMP_003
STU_0074,COMP_004
STU_0074,COMP_005
STU_0074,COMP_014
STU_0074,COMP_015
STU_0074,COMP_034
STU_0075,COMP_001
STU_0075,COMP_004
STU_0075,COMP_011
STU_0077,COMP_002
STU_0077,COMP_011
STU_0077,COMP_014
STU_0078,COMP_003
STU_0078,COMP_004
STU_0080,COMP_001
STU_0080,COMP_003
STU_0080,COMP_008
STU_0081,COMP_001
STU_0081,COMP_002
STU_0081,COMP_004
STU_0081,COMP_022
STU_0081,COMP_026
STU_0081,COMP_028
STU_0083,COMP_003
STU_0085,COMP_002
STU_0086,COMP_001
STU_0087,COMP_002
STU_0087,COMP_003
STU_0087,COMP_004
STU_0087,COMP_013
STU_0087,COMP_025
STU_0087,COMP_026
STU_0090,COMP_003
STU_0091,COMP_001
STU_0091,COMP_002
STU_0091,COMP_003
STU_0091,COMP_004
STU_0091,COMP_009
STU_0091,COMP_012
STU_0092,COMP_011
STU_0093,COMP_002
STU_0093,COMP_003
STU_0093,COMP_004
STU_0093,COMP_006
STU_0093,COMP_017
STU_0093,COMP_024
STU_0093,COMP_032
STU_0093,COMP_035
STU_0094,COMP_002
STU_0094,COMP_003
STU_0094,COMP_005
STU_0094,COMP_007
STU_0095,COMP_002
STU_0096,COMP_001
STU_0097,COMP_002
STU_0097,COMP_004
STU_0097,COMP_018
STU_0102,COMP_003
STU_0104,COMP_001
STU_0104,COMP_002
STU_0104,COMP_004
STU_0106,COMP_001
STU_0106,COMP_002
STU_0106,COMP_004
STU_0106,COMP_009
STU_0106,COMP_011
STU_0106,COMP_016
STU_0106,COMP_021
STU_0106,COMP_025
STU_0107,COMP_002
STU_0107,COMP_003
STU_0107,COMP_004
STU_0107,COMP_007
STU_0107,COMP_008
STU_0107,COMP_027
STU_0107,COMP_034
STU_0108,COMP_003
STU_0108,COMP_010
STU_0108,COMP_020
STU_0109,COMP_002
STU_0109,COMP_011
STU_0111,COMP_001
STU_0111,COMP_004
STU_0111,COMP_007
STU_0111,COMP_010
STU_0111,COMP_020
STU_0111,COMP_033
STU_0114,COMP_002
STU_0114,COMP_004
STU_0118,COMP_001
STU_0118,COMP_002
STU_0118,COMP_003
STU_0118,COMP_009
STU_0118,COMP_010
STU_0119,COMP_002
STU_0119,COMP_004
STU_0119,COMP_005
STU_0119,COMP_015
STU_0120,COMP_004
STU_0122,COMP_002
STU_0122,COMP_003
STU_0122,COMP_004
STU_0122,COMP_030
STU_0122,COMP_031
STU_0127,COMP_002
STU_0127,COMP_024
STU_0128,COMP_002
STU_0129,COMP_004
STU_0132,COMP_004
STU_0134,COMP_003
STU_0134,COMP_004
STU_0135,COMP_013
STU_0137,COMP_003
STU_0137,COMP_004
STU_0138,COMP_001
STU_0138,COMP_002
STU_0138,COMP_004
STU_0138,COMP_008
STU_0138,COMP_010
STU_0138,COMP_011
STU_0138,COMP_012
STU_0138,COMP_015
STU_0138,COMP_016
STU_0138,COMP_017
STU_0138,COMP_019
STU_0138,COMP_020
STU_0138,COMP_021
STU_0138,COMP_022
STU_0138,COMP_027
STU_0138,COMP_028
STU_0138,COMP_029
STU_0138,COMP_030
STU_0138,COMP_031
STU_0140,COMP_001
STU_0140,COMP_004
STU_0140,COMP_012
STU_0140,COMP_020
STU_0144,COMP_001
STU_0144,COMP_002
STU_0144,COMP_004
STU_0144,COMP_006
STU_0144,COMP_021
STU_0144,COMP_023
STU_0144,COMP_024
STU_0145,COMP_016
STU_0146,COMP_001
STU_0146,COMP_002
STU_0146,COMP_003
STU_0146,COMP_004
STU_0146,COMP_006
STU_0146,COMP_012
STU_0146,COMP_023
STU_0148,COMP_004
STU_0149,COMP_002
STU_0149,COMP_003
STU_0149,COMP_004
STU_0149,COMP_017
STU_0150,COMP_002
STU_0150,COMP_004
STU_0150,COMP_006
STU_0150,COMP_009
STU_0150,COMP_011
STU_0150,COMP_024
STU_0150,COMP_025
STU_0150,COMP_033
STU_0150,COMP_035
STU_0151,COMP_001
STU_0151,COMP_002
STU_0151,COMP_003
STU_0153,COMP_001
STU_0153,COMP_011
STU_0153,COMP_013
STU_0154,COMP_002
STU_0154,COMP_003
STU_0154,COMP_004
STU_0155,COMP_004
STU_0155,COMP_005
STU_0155,COMP_006
STU_0155,COMP_017
STU_0155,COMP_024
STU_0155,COMP_027
STU_0155,COMP_029
STU_0156,COMP_001
STU_0156,COMP_010
STU_0157,COMP_001
STU_0158,COMP_002
STU_0160,COMP_004
STU_0161,COMP_001
STU_0161,COMP_003
STU_0162,COMP_003
STU_0162,COMP_005
STU_0162,COMP_008
STU_0162,COMP_009
STU_0162,COMP_010
STU_0162,COMP_013
STU_0162,COMP_022
STU_0162,COMP_026
STU_0162,COMP_028
STU_0162,COMP_032
STU_0164,COMP_003
STU_0164,COMP_004
STU_0164,COMP_007
STU_0164,COMP_008
STU_0164,COMP_021
STU_0164,COMP_023
STU_0164,COMP_031
STU_0164,COMP_034
STU_0165,COMP_004
STU_0166,COMP_001
STU_0166,COMP_003
STU_0166,COMP_008
STU_0168,COMP_003
STU_0168,COMP_004
STU_0168,COMP_013
STU_0168,COMP_014
STU_0168,COMP_021
STU_0168,COMP_024
STU_0168,COMP_034
STU_0170,COMP_003
STU_0171,COMP_003
STU_0171,COMP_004
STU_0171,COMP_006
STU_0171,COMP_017
STU_0171,COMP_020
STU_0171,COMP_021
STU_0171,COMP_024
STU_0171,COMP_026
STU_0171,COMP_035
STU_0174,COMP_001
STU_0174,COMP_002
STU_0174,COMP_004
STU_0174,COMP_005
STU_0175,COMP_001
STU_0175,COMP_003
STU_0175,COMP_004
STU_0175,COMP_005
STU_0175,COMP_011
STU_0175,COMP_018
STU_0175,COMP_020
STU_0176,COMP_001
STU_0176,COMP_002
STU_0177,COMP_002
STU_0179,COMP_001
STU_0180,COMP_001
STU_0180,COMP_002
STU_0180,COMP_010
STU_0181,COMP_002
STU_0181,COMP_003
STU_0182,COMP_002
STU_0182,COMP_003
STU_0182,COMP_004
STU_0182,COMP_016
STU_0182,COMP_019
STU_0182,COMP_026
STU_0184,COMP_001
STU_0184,COMP_004
STU_0184,COMP_006
STU_0184,COMP_021
STU_0184,COMP_025
STU_0184,COMP_028
STU_0185,COMP_001
STU_0185,COMP_003
STU_0185,COMP_008
STU_0185,COMP_009
STU_0185,COMP_011
STU_0188,COMP_001
STU_0188,COMP_003
STU_0188,COMP_004
STU_0189,COMP_004
STU_0190,COMP_004
STU_0191,COMP_001
STU_0191,COMP_002
STU_0191,COMP_003
STU_0191,COMP_004
STU_0191,COMP_006
STU_0191,COMP_010
STU_0191,COMP_011
STU_0191,COMP_014
STU_0191,COMP_015
STU_0191,COMP_018
STU_0191,COMP_021
STU_0191,COMP_024
STU_0191,COMP_025
STU_0191,COMP_026
STU_0191,COMP_029
STU_0191,COMP_030
STU_0193,COMP_001
STU_0193,COMP_002
STU_0193,COMP_013
STU_0195,COMP_001
STU_0195,COMP_004
STU_0195,COMP_014
STU_0196,COMP_004
STU_0196,COMP_006
STU_0196,COMP_015
STU_0197,COMP_001
STU_0200,COMP_001
STU_0200,COMP_002
STU_0200,COMP_003
STU_0200,COMP_004
STU_0200,COMP_005
STU_0200,COMP_007
STU_0202,COMP_001
STU_0202,COMP_003
STU_0202,COMP_021
STU_0202,COMP_022
STU_0202,COMP_024
STU_0202,COMP_034
STU_0205,COMP_004
STU_0205,COMP_009
STU_0207,COMP_001
STU_0207,COMP_008
STU_0207,COMP_011
STU_0208,COMP_019
STU_0209,COMP_002
STU_0209,COMP_004
STU_0209,COMP_006
STU_0209,COMP_009
STU_0211,COMP_003
STU_0212,COMP_003
